order_id,customer_id,shipper_id,product_id,quantity,car_price,order_date,ship_date,discount,ship_mode,shipping,customer_feedback,quarter_number
10237-833,55154-1385,1617,4383,1,92186.18,1/1/2018,3/4/2018,0.6,First Class,Air,Bad,1
22700-134,52125-774,3199,3513,2,71183.23,1/1/2018,1/26/2018,0.69,Same Day,Truck,Very Good,1
39822-4200,10157-9875,1046,4520,1,82108.12,1/1/2018,5/1/2018,0.56,Second Class,Air,Okay,1
49349-206,46123-039,3532,3616,2,96497.56,1/1/2018,4/3/2018,0.68,Same Day,Air,Good,1
51389-255,40042-050,3047,4700,1,96090.34,1/1/2018,2/18/2018,0.66,Same Day,Air,Good,1
63304-590,42043-171,2453,4880,2,76200.97,1/1/2018,1/31/2018,0.63,Same Day,Truck,Good,1
0228-2801,98132-728,1061,4372,2,96579.16,2/1/2018,3/17/2018,0.62,Same Day,Truck,Bad,1
49349-361,48951-1035,1519,4897,1,90756.74,2/1/2018,2/2/2018,0.41,Standard Class,Air,Very Good,1
0069-0079,52033-001,3857,3828,1,87162.3,3/1/2018,5/1/2018,0.6,First Class,Air,Bad,1
0498-0015,61314-294,2681,4949,2,87985.16,3/1/2018,3/17/2018,0.48,Second Class,Air,Good,1
0615-7565,61336-001,1513,4504,1,93570.85,3/1/2018,5/5/2018,0.45,Standard Class,Truck,Okay,1
36987-1677,50458-194,1857,3550,1,75445.54,3/1/2018,4/27/2018,0.55,Same Day,Air,Good,1
58232-0721,36987-3360,3783,4585,1,81766.6,3/1/2018,5/15/2018,0.65,Second Class,Truck,Bad,1
0135-0504,55154-3437,3465,3796,1,95030.52,2/1/2018,5/1/2018,0.58,Same Day,Truck,Good,1
0168-0309,55319-619,1517,3765,2,71241.16,2/1/2018,4/5/2018,0.65,Second Class,Truck,Okay,1
36987-1667,0002-4115,3518,3966,2,94304.16,2/1/2018,5/27/2018,0.54,Second Class,Air,Very Good,1
43857-0030,24236-063,1563,3777,1,76446.29,2/1/2018,5/30/2018,0.69,Same Day,Truck,Very Good,1
51442-543,43857-0150,2215,4688,1,88633.4,2/1/2018,5/13/2018,0.65,Standard Class,Truck,Okay,1
54473-241,76439-273,1355,4179,2,76875.97,2/1/2018,4/4/2018,0.4,Second Class,Truck,Very Good,1
54868-5002,54575-348,1153,3978,1,93102.86,2/1/2018,4/27/2018,0.41,First Class,Truck,Okay,1
59779-949,0067-2039,3855,4572,2,99884.33,2/1/2018,5/30/2018,0.61,Same Day,Air,Good,1
67345-0681,48256-0011,1538,4583,2,77641.54,2/1/2018,4/3/2018,0.46,Same Day,Air,Very Good,1
68151-1020,63824-750,1294,3822,1,71744.46,2/1/2018,5/26/2018,0.41,Second Class,Truck,Very Good,1
42411-041,0641-6068,3782,4027,1,84397.46,2/1/2018,5/25/2018,0.63,Second Class,Truck,Good,1
49580-0390,35356-251,3687,4690,1,75847.61,2/1/2018,5/2/2018,0.6,Second Class,Air,Very Good,1
54868-5581,48951-1191,1787,4158,1,94440.35,1/1/2018,5/3/2018,0.56,Standard Class,Air,Okay,1
13537-110,30142-001,1425,4367,2,70410.7,3/1/2018,5/5/2018,0.63,Same Day,Truck,Very Good,1
55154-6270,42291-897,3780,4939,1,72679.62,1/13/2018,2/17/2018,0.5,Standard Class,Truck,Good,1
55312-332,66116-402,2786,4815,2,88576.34,1/13/2018,3/29/2018,0.51,First Class,Truck,Okay,1
55312-994,52915-070,3660,4012,2,82400.05,1/13/2018,4/6/2018,0.42,First Class,Truck,Good,1
60432-741,46122-500,3339,4837,1,91370.21,1/13/2018,2/17/2018,0.49,Second Class,Air,Good,1
44924-013,11673-165,2917,3688,2,83154.71,1/14/2018,1/15/2018,0.63,Standard Class,Truck,Very Good,1
458802-283,60512-2015,1903,4095,1,89872.32,1/14/2018,1/17/2018,0.59,First Class,Truck,Very Good,1
49281-650,37205-715,3327,4805,1,99459.69,1/14/2018,4/5/2018,0.5,Same Day,Truck,Good,1
62011-0225,11673-977,2954,3539,2,82570.38,1/14/2018,4/19/2018,0.47,First Class,Truck,Okay,1
0517-3415,51672-4111,3646,4249,2,91463.61,1/15/2018,5/18/2018,0.5,Same Day,Truck,Okay,1
57520-0360,53877-006,2984,4419,1,95805.39,1/15/2018,4/3/2018,0.66,First Class,Air,Good,1
64117-979,42254-305,2036,4226,2,95809.16,1/15/2018,4/3/2018,0.51,Same Day,Air,Good,1
0615-0828,0008-1123,1619,4395,2,82539.45,1/16/2018,2/15/2018,0.54,First Class,Air,Okay,1
10056-060,10702-018,3497,4916,1,75802.65,1/16/2018,4/5/2018,0.65,Standard Class,Truck,Very Good,1
21695-900,52862-201,1393,4090,2,80356.64,1/16/2018,2/20/2018,0.45,Same Day,Air,Very Good,1
53808-0251,65862-599,1565,3803,1,98136.58,1/16/2018,4/26/2018,0.69,Standard Class,Truck,Very Good,1
605012-1035,53808-0347,3527,3617,2,77704.86,1/16/2018,5/2/2018,0.56,First Class,Air,Good,1
63629-5233,69243-0610,2746,3644,1,74099.22,1/16/2018,5/5/2018,0.62,Same Day,Air,Good,1
0597-0001,0168-0151,1372,4923,2,73193.58,1/17/2018,5/16/2018,0.44,Second Class,Air,Good,1
55301-619,55315-455,2940,4142,2,77400.3,1/17/2018,2/17/2018,0.6,Same Day,Truck,Good,1
60512-6350,55154-1855,2535,3739,2,90876.65,1/17/2018,2/21/2018,0.55,Same Day,Air,Good,1
21695-223,63868-926,1634,4122,2,89305.88,1/18/2018,4/3/2018,0.65,Second Class,Air,Okay,1
30142-313,0135-0505,2793,4322,1,77381.95,1/18/2018,2/2/2018,0.43,Second Class,Air,Good,1
43857-0292,68788-9178,2012,4617,2,85814.14,1/18/2018,4/23/2018,0.45,Second Class,Air,Very Good,1
49884-650,52544-044,3416,3717,2,74178.21,1/18/2018,2/18/2018,0.62,First Class,Air,Very Good,1
54868-4381,63187-087,1213,3855,2,84393.05,1/18/2018,4/5/2018,0.55,First Class,Truck,Very Good,1
76509-800,68084-734,1295,4831,2,71216.43,1/18/2018,3/3/2018,0.55,Second Class,Air,Okay,1
0093-0248,0378-5504,1845,3758,1,70695.34,1/19/2018,2/23/2018,0.59,First Class,Air,Okay,1
36987-2194,42627-257,3227,3859,1,75319.61,1/19/2018,3/2/2018,0.47,Same Day,Truck,Very Good,1
43419-803,50458-515,3577,3680,1,93503.66,1/19/2018,3/31/2018,0.47,Standard Class,Truck,Good,1
54575-943,41163-156,1942,3853,2,98095.32,1/19/2018,4/6/2018,0.52,Second Class,Air,Very Good,1
62296-0021,0054-0435,2244,3841,2,80545.67,1/19/2018,2/23/2018,0.46,Same Day,Air,Good,1
63255-011,42281-003,3513,3724,1,97146.29,1/19/2018,4/23/2018,0.5,Same Day,Truck,Good,1
65903-247,47593-359,1856,4843,1,98341.07,1/19/2018,5/5/2018,0.63,Second Class,Air,Okay,1
68703-100,55111-697,3621,4531,2,99748.1,1/19/2018,2/23/2018,0.68,Same Day,Truck,Very Good,1
10477-2627,61715-108,2740,4454,2,89876.84,1/20/2018,3/29/2018,0.44,Standard Class,Air,Good,1
11673-407,55154-5089,3377,4819,1,91914.23,1/20/2018,5/3/2018,0.48,Second Class,Air,Good,1
50970-003,35356-301,2208,4386,2,89652.08,1/20/2018,5/29/2018,0.59,First Class,Air,Very Good,1
51655-439,64159-7693,3239,3706,1,79900.39,1/20/2018,1/30/2018,0.45,First Class,Air,Okay,1
0074-4341,0023-4385,1504,4112,1,97842.92,1/21/2018,4/5/2018,0.6,Same Day,Truck,Good,1
0781-6135,68026-544,1989,4726,1,80030.14,1/21/2018,4/6/2018,0.59,Standard Class,Truck,Okay,1
36800-366,0456-3407,2836,3838,2,71516.69,1/21/2018,4/2/2018,0.52,First Class,Air,Very Good,1
36987-3172,42291-886,3321,4937,1,95810.29,1/21/2018,4/4/2018,0.59,Second Class,Truck,Good,1
52125-245,36987-1607,1142,4073,1,90567.48,1/21/2018,2/13/2018,0.65,Same Day,Truck,Very Good,1
52862-008,49349-272,2211,3885,2,70032.15,1/21/2018,5/4/2018,0.47,Second Class,Air,Good,1
54868-6162,49825-119,1480,4245,2,85618.66,1/21/2018,5/17/2018,0.52,Second Class,Truck,Good,1
52183-369,37808-008,1182,4613,1,78407.47,1/22/2018,2/14/2018,0.51,Standard Class,Air,Good,1
55289-390,36987-3362,3888,3850,2,99513.84,1/22/2018,5/4/2018,0.48,First Class,Truck,Good,1
10191-1569,59970-051,1928,4232,1,72361.16,1/23/2018,4/5/2018,0.55,First Class,Truck,Very Good,1
35000-586,60429-981,1541,4948,2,79109.5,1/23/2018,2/6/2018,0.51,Standard Class,Truck,Okay,1
43419-024,47593-458,3128,3979,1,72196.97,1/23/2018,5/4/2018,0.42,Second Class,Air,Good,1
44567-802,69075-001,2280,4968,2,81918.92,1/23/2018,5/28/2018,0.55,First Class,Truck,Okay,1
50436-9973,68382-027,2072,3875,2,72482.47,1/23/2018,3/3/2018,0.49,Standard Class,Truck,Very Good,1
50988-177,0173-0772,3641,3990,1,93623.26,1/23/2018,5/30/2018,0.5,Standard Class,Truck,Good,1
54868-5846,10742-8223,2097,3544,1,92888.62,1/23/2018,3/28/2018,0.4,Standard Class,Truck,Good,1
55154-4959,55714-4520,1827,4964,1,86241.63,1/23/2018,3/3/2018,0.48,Same Day,Air,Very Good,1
60505-2539,68382-112,3692,3592,2,74932.59,1/23/2018,4/5/2018,0.69,Same Day,Truck,Very Good,1
68428-035,10477-0809,3606,4418,2,97330.31,1/23/2018,2/26/2018,0.55,First Class,Truck,Okay,1
24909-111,31722-328,3834,3589,2,88383.68,1/24/2018,3/16/2018,0.54,Same Day,Truck,Very Bad,1
51672-4030,49999-598,2007,4883,1,71297.03,1/24/2018,4/29/2018,0.6,Standard Class,Air,Bad,1
53808-0349,23155-141,2580,4488,1,71890.78,1/24/2018,5/31/2018,0.43,Standard Class,Air,Good,1
0781-3136,63517-101,1607,3902,1,71575.52,1/25/2018,3/3/2018,0.4,First Class,Air,Okay,1
50436-9803,63629-3279,1841,4639,2,72289.11,1/25/2018,4/26/2018,0.6,Same Day,Truck,Bad,1
55621-007,63629-5094,1178,4600,2,71938.64,1/25/2018,4/3/2018,0.65,First Class,Air,Bad,1
14720-372,63010-011,2590,4236,1,93200,1/26/2018,2/5/2018,0.45,Second Class,Truck,Okay,1
55315-189,50573-3560,1714,4879,1,95824.89,1/26/2018,4/23/2018,0.62,Second Class,Truck,Bad,1
0378-9104,13537-110,2998,3594,2,86064.2,1/27/2018,4/26/2018,0.66,Second Class,Air,Okay,1
43063-025,61919-178,2420,3862,2,85839.34,1/27/2018,4/14/2018,0.41,Standard Class,Truck,Bad,1
54868-5768,0268-6635,3988,4989,2,94176.17,1/27/2018,4/2/2018,0.51,Same Day,Truck,Very Bad,1
55154-6637,0093-7304,3003,4620,1,87786.93,1/27/2018,2/4/2018,0.52,First Class,Truck,Okay,1
63783-403,0440-1385,1719,4658,2,75584.52,1/27/2018,3/30/2018,0.59,First Class,Truck,Good,1
64117-250,58118-1260,3224,4994,1,95746.33,1/27/2018,2/2/2018,0.55,Standard Class,Air,Good,1
0406-0367,68258-3032,1963,3520,1,75520.02,1/28/2018,4/2/2018,0.62,Second Class,Truck,Very Bad,1
21695-133,61715-028,2138,3709,2,89332.77,1/28/2018,3/26/2018,0.67,Second Class,Truck,Very Good,1
51389-107,24488-032,3561,4763,2,88807.03,1/28/2018,2/19/2018,0.55,Standard Class,Truck,Very Good,1
55316-249,35356-844,3454,3590,2,97959.34,1/28/2018,3/4/2018,0.68,Standard Class,Air,Okay,1
59667-0071,55111-728,1456,4675,1,95666.22,1/28/2018,3/21/2018,0.6,Second Class,Truck,Okay,1
63824-303,63629-5191,3344,3795,2,87225.58,1/28/2018,5/31/2018,0.51,First Class,Truck,Good,1
0603-4979,51393-7336,3009,3854,1,81965.27,1/29/2018,4/6/2018,0.58,Standard Class,Air,Good,1
13537-148,10819-5808,1962,3732,1,99371.9,1/29/2018,2/22/2018,0.54,Second Class,Air,Good,1
68001-133,52685-454,3618,4137,1,81770.15,1/29/2018,2/24/2018,0.63,Second Class,Truck,Good,1
0067-6025,36987-2792,1996,3844,2,79523.75,1/30/2018,5/3/2018,0.41,Same Day,Truck,Good,1
10812-094,55289-251,2612,3564,2,81330.27,1/30/2018,5/3/2018,0.63,Standard Class,Truck,Good,1
15127-258,68135-020,2346,4121,1,91259.07,1/30/2018,5/21/2018,0.48,Second Class,Truck,Good,1
65862-288,51861-010,1308,3904,1,97909.75,1/30/2018,5/3/2018,0.4,Same Day,Truck,Very Good,1
66288-1300,0641-0948,3373,4865,2,70958.45,1/30/2018,4/6/2018,0.7,Standard Class,Air,Very Good,1
68084-713,55910-664,3949,4065,2,88236.71,1/30/2018,5/3/2018,0.51,Second Class,Air,Very Good,1
0615-7667,58474-010,2475,4269,1,94649.77,1/31/2018,5/3/2018,0.41,Second Class,Truck,Good,1
33261-342,36987-1519,3117,3511,2,85502,1/31/2018,4/25/2018,0.46,First Class,Air,Good,1
42192-353,58232-0702,2685,3922,1,74841.18,1/31/2018,2/23/2018,0.54,Second Class,Air,Good,1
50383-063,67296-0470,2450,4497,2,70663.32,1/31/2018,5/5/2018,0.48,First Class,Air,Very Good,1
54868-0113,49349-472,1846,4958,1,99894.62,1/31/2018,5/21/2018,0.45,Same Day,Air,Good,1
55154-9420,75940-122,3547,3824,1,95225.15,1/31/2018,3/4/2018,0.6,Standard Class,Air,Very Good,1
57520-0332,57237-025,3825,4443,2,88024.28,1/31/2018,4/23/2018,0.43,Second Class,Truck,Good,1
55289-463,43458-1004,1495,4860,1,70356.7,1/2/2018,2/23/2018,0.56,Second Class,Truck,Very Good,1
64024-970,12830-739,1279,3936,2,86524.22,1/2/2018,4/3/2018,0.6,Second Class,Air,Good,1
68788-9204,0054-8181,1537,4810,2,85805.16,1/2/2018,2/26/2018,0.55,Standard Class,Air,Good,1
75857-1100,55301-411,1628,4872,2,86869.83,1/2/2018,5/2/2018,0.47,Second Class,Air,Good,1
0591-3964,43857-0023,2234,3970,1,79667.59,2/2/2018,5/22/2018,0.44,Second Class,Truck,Very Good,1
0615-1311,55550-102,3206,4340,1,98996.09,2/2/2018,5/3/2018,0.53,Standard Class,Air,Very Good,1
41250-299,0113-0425,1874,3545,1,94720.55,2/2/2018,5/2/2018,0.56,First Class,Truck,Okay,1
42858-302,62839-2810,1274,4339,2,93545.81,2/2/2018,2/14/2018,0.45,First Class,Truck,Okay,1
21130-002,51785-514,1095,3865,1,96891.24,3/2/2018,3/15/2018,0.41,Same Day,Air,Very Good,1
49527-801,0462-0264,2818,3993,1,86250.64,3/2/2018,3/27/2018,0.47,Second Class,Air,Good,1
51672-4050,55150-125,2033,4258,2,98021.32,3/2/2018,5/4/2018,0.68,First Class,Truck,Bad,1
59779-324,68016-081,1249,4982,1,86136.57,3/2/2018,4/2/2018,0.53,Second Class,Truck,Very Bad,1
67457-238,65923-703,1282,4626,1,78605.76,3/2/2018,4/3/2018,0.64,Standard Class,Truck,Okay,1
68428-158,0002-7597,2265,3663,1,89007.64,3/2/2018,5/5/2018,0.4,First Class,Air,Very Bad,1
10267-3852,0485-0096,3962,4125,2,82403.57,2/2/2018,5/18/2018,0.45,First Class,Air,Bad,1
33992-0054,61047-817,3329,4920,2,88970.78,2/2/2018,5/3/2018,0.62,First Class,Air,Bad,1
49288-0456,67938-1397,2333,3932,2,80128.82,2/2/2018,5/3/2018,0.52,First Class,Air,Good,1
49348-920,51143-296,3990,4922,1,89597.91,2/2/2018,5/3/2018,0.53,First Class,Truck,Very Bad,1
53329-089,49349-892,3619,3887,1,96551.74,3/2/2018,5/2/2018,0.54,Second Class,Truck,Very Bad,1
59547-310,64117-228,3615,3582,1,75880.16,3/2/2018,5/27/2018,0.46,First Class,Truck,Okay,1
24236-608,0067-4870,2017,4661,2,99371.71,2/2/2018,3/3/2018,0.45,First Class,Air,Good,1
24488-021,68391-517,1336,4146,2,70649.36,2/2/2018,3/3/2018,0.51,Standard Class,Air,Very Good,1
33261-825,63187-181,2347,3825,2,94137.05,2/2/2018,5/17/2018,0.53,First Class,Truck,Very Bad,1
54575-349,55316-478,1654,4595,1,95285.04,2/2/2018,5/6/2018,0.59,Same Day,Truck,Okay,1
66915-613,65321-515,3144,4094,2,89511.02,2/2/2018,5/14/2018,0.67,Same Day,Air,Very Bad,1
0591-3221,50484-303,2517,4576,1,84615.65,3/2/2018,5/2/2018,0.59,Standard Class,Air,Very Good,1
0228-3504,44717-536,3811,4888,2,81880.62,1/2/2018,4/16/2018,0.48,Same Day,Air,Good,1
61699-0047,10812-421,1412,3953,2,77704.42,1/2/2018,4/2/2018,0.65,Same Day,Air,Very Good,1
66758-054,30142-406,2568,4381,1,94195.57,1/2/2018,3/3/2018,0.53,Same Day,Air,Good,1
0699-5728,67457-594,2682,4752,1,79477.32,2/13/2018,5/3/2018,0.42,Standard Class,Truck,Good,1
42507-247,65162-642,1743,4222,1,93184.24,2/13/2018,3/6/2018,0.66,Second Class,Truck,Bad,1
48951-7116,54312-325,2409,4806,2,86174.22,2/13/2018,2/20/2018,0.57,Second Class,Truck,Very Bad,1
55319-504,68639-0001,1208,4020,1,84622.88,2/13/2018,3/20/2018,0.47,Same Day,Air,Okay,1
55714-2203,16590-080,1953,4839,1,82631.63,2/13/2018,4/23/2018,0.44,Standard Class,Air,Very Bad,1
63323-125,42549-497,1483,3691,2,82776.6,2/13/2018,5/23/2018,0.58,Same Day,Air,Bad,1
0179-0128,67938-0904,2071,3508,1,94846.19,2/14/2018,3/27/2018,0.57,Standard Class,Air,Very Good,1
16714-588,0268-1139,1854,4459,2,94823.48,2/14/2018,3/24/2018,0.62,Standard Class,Air,Okay,1
54868-6366,48951-8160,2165,4008,2,99548.33,2/14/2018,5/31/2018,0.69,Second Class,Truck,Good,1
55154-5154,66969-6014,2597,3776,2,83113.43,2/14/2018,3/21/2018,0.52,Second Class,Air,Very Good,1
58118-2528,54868-1971,1089,4876,1,79759.44,2/14/2018,3/5/2018,0.42,Second Class,Air,Okay,1
65862-526,16477-811,1847,4770,1,72722.97,2/14/2018,4/5/2018,0.63,Same Day,Truck,Bad,1
0591-2230,10819-3737,2166,4786,2,93158.79,2/15/2018,5/5/2018,0.47,Second Class,Truck,Very Bad,1
35356-197,53113-266,2434,3784,1,70173.7,2/15/2018,3/22/2018,0.51,Standard Class,Air,Okay,1
50563-180,66259-701,2259,4833,2,78682.13,2/15/2018,4/4/2018,0.63,Second Class,Truck,Bad,1
53950-7007,50436-4379,2936,3745,1,80721.88,2/15/2018,3/3/2018,0.66,Second Class,Air,Very Bad,1
61995-2371,55154-3379,3221,4303,2,75793.74,2/15/2018,5/14/2018,0.62,Second Class,Air,Okay,1
63187-185,41250-467,3220,3938,2,90667.01,2/15/2018,3/22/2018,0.64,First Class,Truck,Very Good,1
65224-539,36987-1498,3599,4801,1,84478.08,2/15/2018,4/3/2018,0.56,Second Class,Truck,Okay,1
43063-209,65862-536,1415,4298,1,83038.49,2/16/2018,4/24/2018,0.47,First Class,Truck,Very Bad,1
52125-531,54569-0843,1248,3985,2,95699.67,2/16/2018,3/23/2018,0.51,Second Class,Air,Very Good,1
57520-0500,41163-496,2443,3778,1,81399.78,2/16/2018,5/13/2018,0.6,Standard Class,Air,Good,1
0069-3120,41190-915,1325,4509,2,99704.46,2/17/2018,3/24/2018,0.7,Standard Class,Truck,Okay,1
0220-9314,0093-5142,2561,4036,2,78372.26,2/17/2018,3/24/2018,0.66,First Class,Air,Very Good,1
41520-114,54569-1155,1114,4667,2,93152.59,2/17/2018,3/26/2018,0.62,Second Class,Truck,Very Good,1
51523-006,64125-127,2571,4338,1,99336.89,2/17/2018,2/24/2018,0.65,Second Class,Air,Very Good,1
55910-042,64990-601,1482,3900,2,86923.41,2/17/2018,2/27/2018,0.62,Same Day,Air,Good,1
0113-0166,54868-5545,1573,3746,2,77562.54,2/18/2018,3/25/2018,0.54,Second Class,Air,Very Good,1
0268-6640,68745-1057,1809,4550,1,86074.14,2/18/2018,3/30/2018,0.44,Second Class,Truck,Very Good,1
0591-0885,10631-099,2356,3519,2,75369.26,2/18/2018,3/22/2018,0.49,Standard Class,Air,Very Good,1
47682-073,50730-8719,3648,4196,2,90636.01,2/18/2018,4/19/2018,0.6,Second Class,Air,Okay,1
57237-095,75857-1123,2551,4534,2,87230.48,2/18/2018,3/22/2018,0.55,First Class,Truck,Very Good,1
63304-445,0713-0166,2110,4435,2,96712,2/18/2018,4/3/2018,0.65,Same Day,Truck,Good,1
54473-210,53808-0396,2901,4057,1,96216.23,2/19/2018,5/17/2018,0.58,Same Day,Air,Very Good,1
55154-2416,50844-753,3098,4154,2,71133.07,2/19/2018,3/26/2018,0.69,Standard Class,Truck,Good,1
13537-217,65517-0027,3119,4532,2,73653.04,2/20/2018,4/5/2018,0.5,Second Class,Truck,Very Good,1
41900-500,24385-549,3581,4420,1,91276.11,2/20/2018,2/28/2018,0.4,First Class,Air,Good,1
49349-069,53808-0832,2010,3650,1,95008.58,2/20/2018,5/15/2018,0.62,Second Class,Truck,Good,1
49884-397,64679-743,2519,3501,1,80690.46,2/20/2018,3/27/2018,0.4,Same Day,Air,Good,1
50322-005,32909-723,1797,3537,1,80887.67,2/20/2018,4/26/2018,0.57,Standard Class,Air,Good,1
65003-018,36800-004,1893,4740,1,89147.6,2/20/2018,5/29/2018,0.56,Standard Class,Truck,Very Good,1
0641-6073,0555-1054,3975,4706,1,77883.92,2/21/2018,3/3/2018,0.67,First Class,Air,Very Good,1
13668-343,36987-1163,2669,4190,2,72719.15,2/21/2018,3/4/2018,0.67,First Class,Air,Very Good,1
43269-835,55154-7453,3253,4450,2,81030.05,2/21/2018,3/28/2018,0.68,First Class,Truck,Okay,1
49288-0906,36000-175,1840,4956,2,99490.76,2/21/2018,2/28/2018,0.51,Standard Class,Air,Good,1
55154-0680,52584-626,1702,4183,2,95633.17,2/21/2018,4/26/2018,0.46,Second Class,Air,Good,1
59958-200,0178-0370,3605,4681,1,97440.6,2/21/2018,3/28/2018,0.62,Second Class,Truck,Okay,1
0591-0338,36800-262,1211,4997,1,70851.06,2/22/2018,3/13/2018,0.65,Same Day,Air,Very Good,1
21749-527,16590-301,2754,4934,2,97391.9,2/22/2018,5/5/2018,0.48,First Class,Air,Okay,1
54569-0322,59746-211,1883,3977,1,77735.37,2/22/2018,4/23/2018,0.4,Second Class,Truck,Very Good,1
55504-9003,41163-478,3911,4370,2,96258.12,2/22/2018,4/28/2018,0.56,Standard Class,Truck,Good,1
57520-1044,0591-5307,2332,4629,2,94221.38,2/22/2018,3/16/2018,0.47,First Class,Truck,Very Good,1
